Lloc_de_procedencia,Nom_districte,Codi_districte,Nombre
Andalusia,Ciutat Vella,1,223
Andalusia,Eixample,12,476
Andalusia,Gracia,30,187
Andalusia,Horta-Guinardó,77,180
Andalusia,Les Corts,12,89
Andalusia,Nou Barris,104,204
Andalusia,Sant Andreu,63,125
Andalusia,Sant Marti,100,302
Andalusia,Sants-Montjuic,24,290
Andalusia,Sarria-Sant Gervasi,30,125
Aragó,Ciutat Vella,1,69
Aragó,Eixample,12,167
Aragó,Gracia,30,49
Aragó,Horta-Guinardó,77,64
Aragó,Les Corts,12,54
Aragó,Nou Barris,104,57
Aragó,Sant Andreu,63,52
Aragó,Sant Marti,100,84
Aragó,Sants-Montjuic,24,103
Aragó,Sarria-Sant Gervasi,30,43
Canaries,Ciutat Vella,4,106
Canaries,Eixample,12,181
Canaries,Gracia,30,60
Canaries,Horta-Guinardó,77,65
Canaries,Les Corts,12,28
Canaries,Nou Barris,104,69
Canaries,Sant Andreu,63,38
Canaries,Sant Marti,100,103
Canaries,Sants-Montjuic,24,104
Canaries,Sarria-Sant Gervasi,30,70
Cantabria,Ciutat Vella,4,19
Cantabria,Eixample,12,32
Cantabria,Gracia,30,17
Cantabria,Horta-Guinardó,77,12
Cantabria,Les Corts,12,5
Cantabria,Nou Barris,104,11
Cantabria,Sant Andreu,63,22
Cantabria,Sant Marti,100,13
Cantabria,Sants-Montjuic,24,27
Cantabria,Sarria-Sant Gervasi,30,8
Castella - la Manxa,Ciutat Vella,4,49
Castella - la Manxa,Eixample,12,77
Castella - la Manxa,Gracia,30,26
Castella - la Manxa,Horta-Guinardó,77,36
Castella - la Manxa,Les Corts,12,20
Castella - la Manxa,Nou Barris,104,39
Castella - la Manxa,Sant Andreu,63,40
Castella - la Manxa,Sant Marti,100,71
Castella - la Manxa,Sants-Montjuic,24,43
Castella - la Manxa,Sarria-Sant Gervasi,30,20
Castella i Lleó,Ciutat Vella,4,67
Castella i Lleó,Eixample,12,146
Castella i Lleó,Gracia,30,52
Castella i Lleó,Horta-Guinardó,77,75
Castella i Lleó,Les Corts,12,43
Castella i Lleó,Nou Barris,104,54
Castella i Lleó,Sant Andreu,63,60
Castella i Lleó,Sant Marti,100,103
Castella i Lleó,Sants-Montjuic,24,105
Castella i Lleó,Sarria-Sant Gervasi,30,39
Catalunya,Ciutat Vella,4,2619
Catalunya,Eixample,12,4541
Catalunya,Gracia,30,1960
Catalunya,Horta-Guinardó,77,2799
Catalunya,Les Corts,12,1579
Catalunya,Nou Barris,104,3265
Catalunya,Sant Andreu,63,2639
Catalunya,Sant Marti,100,3889
Catalunya,Sants-Montjuic,24,4214
Catalunya,Sarria-Sant Gervasi,30,2297
Ceuta,Ciutat Vella,4,5
Ceuta,Eixample,12,2
Ceuta,Gracia,30,0
Ceuta,Horta-Guinardó,77,5
Ceuta,Les Corts,12,1
Ceuta,Nou Barris,104,4
Ceuta,Sant Andreu,63,0
Ceuta,Sant Marti,100,5
Ceuta,Sants-Montjuic,24,5
Ceuta,Sarria-Sant Gervasi,30,4
Comunitat Foral de Navarra,Ciutat Vella,4,15
Comunitat Foral de Navarra,Eixample,12,59
Comunitat Foral de Navarra,Gracia,30,18
Comunitat Foral de Navarra,Horta-Guinardó,77,20
Comunitat Foral de Navarra,Les Corts,12,12
Comunitat Foral de Navarra,Nou Barris,104,16
Comunitat Foral de Navarra,Sant Andreu,63,20
Comunitat Foral de Navarra,Sant Marti,100,25
Comunitat Foral de Navarra,Sants-Montjuic,24,24
Comunitat Foral de Navarra,Sarria-Sant Gervasi,30,29
Comunitat Valenciana,Ciutat Vella,4,218
Comunitat Valenciana,Eixample,12,432
Comunitat Valenciana,Gracia,30,175
Comunitat Valenciana,Horta-Guinardó,77,190
Comunitat Valenciana,Les Corts,12,96
Comunitat Valenciana,Nou Barris,104,144
Comunitat Valenciana,Sant Andreu,63,167
Comunitat Valenciana,Sant Marti,100,309
Comunitat Valenciana,Sants-Montjuic,24,297
Comunitat Valenciana,Sarria-Sant Gervasi,30,141
Comunitat de Madrid,Ciutat Vella,4,313
Comunitat de Madrid,Eixample,12,696
Comunitat de Madrid,Gracia,30,218
Comunitat de Madrid,Horta-Guinardó,77,202
Comunitat de Madrid,Les Corts,12,177
Comunitat de Madrid,Nou Barris,104,203
Comunitat de Madrid,Sant Andreu,63,156
Comunitat de Madrid,Sant Marti,100,357
Comunitat de Madrid,Sants-Montjuic,24,326
Comunitat de Madrid,Sarria-Sant Gervasi,30,250
Estranger,Ciutat Vella,4,9541
Estranger,Eixample,12,11977
Estranger,Gracia,30,4079
Estranger,Horta-Guinardó,77,4456
Estranger,Les Corts,12,2170
Estranger,Nou Barris,104,4723
Estranger,Sant Andreu,63,3135
Estranger,Sant Marti,100,7170
Estranger,Sants-Montjuic,24,7040
Estranger,Sarria-Sant Gervasi,30,3855
Extremadura,Ciutat Vella,4,16
Extremadura,Eixample,12,47
Extremadura,Gracia,30,19
Extremadura,Horta-Guinardó,77,21
Extremadura,Les Corts,12,7
Extremadura,Nou Barris,104,26
Extremadura,Sant Andreu,63,18
Extremadura,Sant Marti,100,30
Extremadura,Sants-Montjuic,24,41
Extremadura,Sarria-Sant Gervasi,30,14
Galicia,Ciutat Vella,4,73
Galicia,Eixample,12,205
Galicia,Gracia,30,88
Galicia,Horta-Guinardó,77,55
Galicia,Les Corts,12,43
Galicia,Nou Barris,104,67
Galicia,Sant Andreu,63,64
Galicia,Sant Marti,100,113
Galicia,Sants-Montjuic,24,112
Galicia,Sarria-Sant Gervasi,30,62
Illes Balears,Ciutat Vella,4,146
Illes Balears,Eixample,12,286
Illes Balears,Gracia,30,114
Illes Balears,Horta-Guinardó,77,99
Illes Balears,Les Corts,12,52
Illes Balears,Nou Barris,104,72
Illes Balears,Sant Andreu,63,47
Illes Balears,Sant Marti,100,126
Illes Balears,Sants-Montjuic,24,136
Illes Balears,Sarria-Sant Gervasi,30,163
Melilla,Ciutat Vella,4,20
Melilla,Eixample,12,3
Melilla,Gracia,30,3
Melilla,Horta-Guinardó,77,2
Melilla,Les Corts,12,3
Melilla,Nou Barris,104,5
Melilla,Sant Andreu,63,7
Melilla,Sant Marti,100,6
Melilla,Sants-Montjuic,24,15
Melilla,Sarria-Sant Gervasi,30,1
Pais Basc,Ciutat Vella,4,90
Pais Basc,Eixample,12,180
Pais Basc,Gracia,30,71
Pais Basc,Horta-Guinardó,77,52
Pais Basc,Les Corts,12,36
Pais Basc,Nou Barris,104,35
Pais Basc,Sant Andreu,63,47
Pais Basc,Sant Marti,100,65
Pais Basc,Sants-Montjuic,24,112
Pais Basc,Sarria-Sant Gervasi,30,61
Principat d'Astúries,Ciutat Vella,4,26
Principat d'Astúries,Eixample,12,64
Principat d'Astúries,Gracia,30,24
Principat d'Astúries,Horta-Guinardó,77,22
Principat d'Astúries,Les Corts,12,12
Principat d'Astúries,Nou Barris,104,24
Principat d'Astúries,Sant Andreu,63,17
Principat d'Astúries,Sant Marti,100,35
Principat d'Astúries,Sants-Montjuic,24,29
Principat d'Astúries,Sarria-Sant Gervasi,30,15
Regió de Múrcia,Ciutat Vella,4,35
Regió de Múrcia,Eixample,12,76
Regió de Múrcia,Gracia,30,23
Regió de Múrcia,Horta-Guinardó,77,45
Regió de Múrcia,Les Corts,12,13
Regió de Múrcia,Nou Barris,104,36
Regió de Múrcia,Sant Andreu,63,21
Regió de Múrcia,Sant Marti,100,57
Regió de Múrcia,Sants-Montjuic,24,46
Regió de Múrcia,Sarria-Sant Gervasi,30,20
Rioja,Ciutat Vella,4,15
Rioja,Eixample,12,24
Rioja,Gracia,30,12
Rioja,Horta-Guinardó,77,10
Rioja,Les Corts,12,3
Rioja,Nou Barris,104,7
Rioja,Sant Andreu,63,9
Rioja,Sant Marti,100,21
Rioja,Sants-Montjuic,24,8
Rioja,Sarria-Sant Gervasi,30,7
